Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Jake,5,D. Carr QB - LV ,12.54,M. Davis RB - CAR ,8.70,K. Hunt RB - CLE ,9.30,T. Lockett WR - SEA ,7.30,R. Anderson WR - CAR ,9.80,T. Fulgham WR - PHI ,19.80,T. Hockenson TE - DET ,13.50,C. Edwards-Helaire RB - KC ,6.10,R. Blankenship K - IND ,1.00,Chargers DEF ,3.00,H. Henry TE - LAC ,7.30,M. Thomas WR - NO ,0.00,D. Watson QB - HOU ,0.00,A. Jones RB - GB ,0.00,M. Sanders RB - PHI ,0.00,Patriots DEF ,3.00,A. Lazard WR - GB ,0.00,-,-,91.04,Sam,160.76
Lucas,6,L. Jackson QB - BAL ,14.82,A. Peterson RB - DET ,2.20,D. Singletary RB - BUF ,10.20,J. Brown WR - BUF ,3.10,A. Cooper WR - DAL ,1.50,J. Jefferson WR - MIN ,5.60,M. Andrews TE - BAL ,6.20,M. Gallup WR - DAL ,13.10,J. Tucker K - BAL ,8.00,49ers DEF ,-2.00,M. Ryan QB - ATL ,17.94,C. McCaffrey RB - CAR ,0.00,C. Godwin WR - TB ,0.00,C. Kirk WR - ARI ,0.00,D. Schultz TE - DAL ,11.30,R. Bullock K - CIN ,7.00,R. Mostert RB - SF ,0.00,D. Goedert TE - PHI ,2.50,62.72,Nolan,118.54
Graham,9,A. Rodgers QB - GB ,22.54,L. Fournette RB - TB ,10.10,J. Taylor RB - IND ,5.10,A. Thielen WR - MIN ,5.70,T. Hill WR - KC ,25.80,C. Ridley WR - ATL ,7.20,H. Hurst TE - ATL ,10.40,M. Evans WR - TB ,16.50,R. Succop K - TB ,15.00,Rams DEF ,5.00,L. Murray RB - NO ,6.10,D. Freeman RB - NYG ,0.00,C. Hyde RB - SEA ,0.00,K. Drake RB - ARI ,0.00,C. Edmonds RB - ARI ,0.00,D. Johnson WR - PIT ,1.60,R. Armstead RB - JAX ,0.00,-,-,123.34,Kevin,152.24
Liam,8,J. Allen QB - BUF ,12.46,T. Gurley RB - ATL ,10.60,T. Pollard RB - DAL ,13.30,J. Landry WR - CLE ,9.20,D. Adams WR - GB ,30.30,C. Kupp WR - LA View News ,22.00,R. Tonyan TE - GB ,12.90,T. Higgins WR - CIN ,14.40,Y. Koo K - ATL ,12.00,Bills DEF ,4.00,C. Davis WR - TEN ,26.80,P. Lindsay RB - DEN ,15.60,N. Hines RB - IND ,25.10,J. Jeudy WR - DEN ,11.30,L. Shenault WR - JAX ,0.00,J. Kelley RB - LAC ,3.50,E. Sanders WR - NO ,0.00,A. Ekeler RB - LAC ,0.00,141.16,Matt,148.56
Matt,2,T. Brady QB - TB ,19.06,G. Bernard RB - CIN ,22.80,J. Williams RB - GB ,18.20,K. Allen WR - LAC ,21.70,A. Robinson WR - CHI ,20.70,A. Brown WR - TEN ,12.40,G. Kittle TE - SF ,5.90,L. Bell RB - KC ,6.80,W. Lutz K - NO ,14.00,Buccaneers DEF ,7.00,B. Cooks WR - HOU ,0.00,J. White RB - NE ,5.50,E. Engram TE - NYG ,12.00,J. Mixon RB - CIN ,0.00,M. Brown WR - BAL ,7.30,J. Dobbins RB - BAL ,13.10,A. Brown WR - TB ,0.00,N. Chubb RB - CLE ,0.00,148.56,Liam,141.16
Kevin,1,P. Mahomes QB - KC ,36.64,J. Conner RB - PIT ,15.00,R. Jones RB - TB ,6.60,A. Green WR - CIN ,3.90,C. Lamb WR - DAL ,9.00,B. Aiyuk WR - SF ,23.10,D. Waller TE - LV ,7.70,A. Kamara RB - NO ,25.30,D. Carlson K - LV ,10.00,Colts DEF ,15.00,T. Hilton WR - IND ,2.90,C. Beasley WR - BUF ,4.40,D. Hopkins WR - ARI ,0.00,T. McLaurin WR - WAS ,0.00,D. Henderson RB - LA ,6.80,T. Tagovailoa QB - MIA ,5.72,S. Michel RB - NE ,0.00,-,-,152.24,Graham,123.34
Nolan,3,R. Wilson QB - SEA ,28.74,E. Elliott RB - DAL ,8.30,J. Jacobs RB - LV ,12.90,R. Higgins WR - CLE ,2.40,D. Metcalf WR - SEA ,40.10,C. Claypool WR - PIT ,13.20,J. Smith TE - TEN ,4.90,C. Carson RB - SEA ,0.00,J. Sanders K - MIA ,4.00,Ravens DEF ,4.00,N. Agholor WR - LV ,0.00,W. Fuller WR - HOU ,0.00,D. Chark WR - JAX ,0.00,R. Gage WR - ATL ,4.50,D. Slayton WR - NYG ,10.60,Browns DEF ,3.00,-,-,-,-,118.54,Lucas,62.72
Jess,7,J. Herbert QB - LAC ,21.22,D. Henry RB - TEN ,17.20,D. Montgomery RB - CHI ,12.50,J. Jones WR - ATL ,20.70,D. Moore WR - CAR ,7.50,H. Renfrow WR - LV ,13.90,J. Cook TE - NO ,16.10,M. Gordon RB - DEN ,10.70,H. Butker K - KC ,5.00,Chiefs DEF ,9.00,M. Ingram RB - BAL View News ,0.00,M. Jones WR - DET ,18.90,C. Wentz QB - PHI ,8.62,A. Hooper TE - CLE ,0.00,J. Smith-Schuster WR - PIT ,13.70,T. Coleman RB - SF ,2.00,S. Shepard WR - NYG ,15.40,-,-,133.82,f,117.72
Sam,4,J. Burrow QB - CIN ,18.86,D. Cook RB - MIN ,48.60,D. Swift RB - DET ,5.30,R. Woods WR - LA ,28.40,S. Diggs WR - BUF ,15.20,K. Golladay WR - DET ,0.00,R. Gronkowski TE - TB ,14.10,D. Parker WR - MIA ,7.30,R. Gould K - SF ,3.00,Eagles DEF ,20.00,J. Crowder WR - NYJ ,0.00,K. Murray QB - ARI ,0.00,A. Mattison RB - MIN ,0.80,D. Samuel WR - SF ,0.00,J. Robinson RB - JAX ,0.00,A. Gibson RB - WAS ,0.00,Z. Ertz TE - PHI ,0.00,R. Penny RB - SEA ,0.00,160.76,Jake,91.04
f,10,R. Tannehill QB - TEN ,17.32,B. Scott RB - PHI ,9.90,M. Gaskin RB - MIA ,13.30,T. Boyd WR - CIN ,19.60,P. Williams WR - MIA ,3.50,H. Ruggs WR - LV ,2.90,T. Kelce TE - KC ,24.90,J. Graham TE - CHI ,3.30,J. Slye K - CAR ,5.00,Steelers DEF ,18.00,C. Newton QB - NE ,18.36,J. McKinnon RB - SF ,15.90,D. Johnson RB - HOU ,0.00,J. McKissic RB - WAS ,0.00,K. Cole WR - JAX ,0.00,N. Fant TE - DEN ,11.70,S. Barkley RB - NYG ,0.00,-,-,117.72,Jess,133.82
